timestamp,AirQualityIndex,CO_(μg/m³),NO_(μg/m³),NO2_(μg/m³),O3_(μg/m³),SO2_(μg/m³),PM2_5_(μg/m³),PM10_(μg/m³),NH3_(μg/m³)
2020-11-27 17:00:00+00:00,4,834.47,4.08,23.65,150.2,44.82,37.87,42.38,0.82
2020-11-27 18:00:00+00:00,4,754.36,2.04,15.08,191.69,41.49,38.62,42.09,0.48
2020-11-27 19:00:00+00:00,3,460.63,1.03,6.34,147.34,22.17,20.17,21.85,0.29
2020-11-27 20:00:00+00:00,3,393.87,0.89,5.36,138.76,18.6,15.48,16.76,0.34
2020-11-27 21:00:00+00:00,3,410.56,0.85,6.0,148.77,20.27,16.12,17.38,0.4
2020-11-27 22:00:00+00:00,3,607.49,2.82,21.94,141.62,30.52,19.25,21.73,1.47
2020-11-27 23:00:00+00:00,3,881.2,4.81,52.78,111.58,39.1,23.04,27.5,3.04
2020-11-28 00:00:00+00:00,3,1041.41,1.51,82.94,64.37,48.64,24.7,31.43,4.81
2020-11-28 01:00:00+00:00,3,1068.12,0.26,87.74,26.11,65.8,22.34,30.41,6.02
2020-11-28 02:00:00+00:00,2,974.66,0.75,78.14,13.41,70.57,19.83,30.11,7.79
2020-11-28 03:00:00+00:00,3,854.49,0.2,65.8,21.28,78.2,20.72,32.75,8.04
2020-11-28 04:00:00+00:00,3,854.49,0.35,63.75,18.95,90.6,22.16,35.13,7.47
2020-11-28 05:00:00+00:00,3,974.66,3.55,68.55,4.47,91.55,23.29,37.43,7.85
2020-11-28 06:00:00+00:00,3,1041.41,11.18,65.12,0.21,85.83,21.94,35.15,7.22
2020-11-28 07:00:00+00:00,3,1001.36,11.51,58.95,0.12,78.2,20.07,32.25,6.4
2020-11-28 08:00:00+00:00,2,974.66,8.16,56.89,0.18,75.34,18.86,30.11,5.83
2020-11-28 09:00:00+00:00,2,1068.12,7.26,61.01,0.14,84.88,19.95,30.86,5.57
2020-11-28 10:00:00+00:00,2,1134.87,6.59,62.38,0.19,99.18,19.03,28.78,5.76
2020-11-28 11:00:00+00:00,2,1161.58,8.38,59.63,0.16,100.14,18.94,29.04,6.33
2020-11-28 12:00:00+00:00,2,1188.28,10.17,57.58,0.13,102.04,19.24,29.7,6.97
2020-11-28 13:00:00+00:00,3,1441.96,20.34,61.01,0.0,114.44,22.82,34.91,7.47
2020-11-28 14:00:00+00:00,4,1869.2,42.92,65.12,3.35,131.61,28.62,43.16,8.99
2020-11-28 15:00:00+00:00,4,2216.34,54.99,76.77,20.56,143.05,39.17,55.81,9.88
2020-11-28 16:00:00+00:00,4,1522.06,15.87,61.01,103.0,101.09,46.79,56.09,2.91
2020-11-28 17:00:00+00:00,5,1655.58,6.76,53.47,223.16,109.67,75.98,84.93,1.28
2020-11-28 18:00:00+00:00,5,1869.2,2.57,33.59,354.77,122.07,108.86,117.81,1.12
2020-11-28 19:00:00+00:00,4,821.11,0.66,7.88,220.3,47.68,42.59,45.99,1.05
2020-11-28 20:00:00+00:00,4,587.46,0.52,5.48,180.24,31.47,28.31,30.5,0.8
2020-11-28 21:00:00+00:00,4,587.46,0.52,5.91,181.68,32.42,28.6,30.7,0.92
2020-11-28 22:00:00+00:00,4,600.82,0.56,7.97,185.97,33.38,30.27,32.42,1.05
2020-11-28 23:00:00+00:00,4,627.52,0.46,14.05,178.81,32.42,31.46,34.14,1.28
2020-11-29 00:00:00+00:00,4,640.87,0.07,20.22,161.65,31.47,32.39,36.41,1.58
2020-11-29 01:00:00+00:00,4,1001.36,0.0,53.47,115.87,56.27,42.09,50.67,4.56
2020-11-29 02:00:00+00:00,5,1441.96,0.0,95.96,59.37,74.39,55.41,71.32,8.61
2020-11-29 03:00:00+00:00,5,1455.31,0.02,101.45,33.62,67.71,60.44,82.4,9.88
2020-11-29 04:00:00+00:00,5,1615.52,4.14,101.45,9.03,53.41,71.04,101.38,11.53
2020-11-29 05:00:00+00:00,5,1976.01,25.03,94.59,0.06,43.39,86.05,123.38,13.05
2020-11-29 06:00:00+00:00,5,2136.23,38.89,85.0,0.0,35.29,90.71,127.58,11.65
2020-11-29 07:00:00+00:00,5,1895.9,28.16,76.08,0.03,31.95,85.78,118.0,10.13
2020-11-29 08:00:00+00:00,5,1628.88,12.07,69.92,0.45,35.29,81.13,108.46,9.25
2020-11-29 09:00:00+00:00,5,1548.77,3.97,67.17,2.21,41.49,81.61,105.22,7.85
2020-11-29 10:00:00+00:00,5,1455.31,0.73,60.32,8.76,48.16,80.12,100.48,7.98
2020-11-29 11:00:00+00:00,5,1308.44,0.16,51.41,16.99,55.79,74.47,92.27,8.87
2020-11-29 12:00:00+00:00,5,1228.33,0.25,52.09,17.88,63.9,69.27,86.15,9.75
2020-11-29 13:00:00+00:00,5,1588.82,13.3,70.6,1.97,73.43,73.95,94.33,10.77
2020-11-29 14:00:00+00:00,5,2189.64,57.22,74.03,1.83,80.11,80.96,105.99,12.92
2020-11-29 15:00:00+00:00,5,2296.45,65.27,80.88,15.91,83.92,80.14,104.94,12.41
2020-11-29 16:00:00+00:00,4,1161.58,10.06,44.55,94.41,87.74,41.29,48.63,2.03
2020-11-29 17:00:00+00:00,4,1054.76,5.14,32.22,158.79,80.11,46.27,52.04,1.38
2020-11-29 18:00:00+00:00,5,1108.17,2.43,22.28,234.6,82.02,63.0,68.55,1.22
2020-11-29 19:00:00+00:00,4,680.92,0.81,7.8,211.72,44.82,41.97,45.38,1.2
2020-11-29 20:00:00+00:00,4,473.98,0.57,5.06,183.11,27.66,31.32,33.94,0.89
2020-11-29 21:00:00+00:00,4,433.92,0.57,5.66,171.66,26.94,29.98,32.38,0.71
2020-11-29 22:00:00+00:00,4,383.85,0.51,6.94,155.93,30.52,27.66,29.83,0.55
2020-11-29 23:00:00+00:00,4,407.22,0.33,11.65,145.91,40.53,27.75,30.06,0.71
2020-11-30 00:00:00+00:00,4,507.36,0.04,19.19,143.05,52.45,30.67,33.64,1.41
2020-11-30 01:00:00+00:00,4,674.25,0.0,27.42,130.18,57.22,33.07,36.67,2.85
2020-11-30 02:00:00+00:00,3,574.11,0.0,23.99,94.41,39.1,24.74,28.43,3.04
2020-11-30 03:00:00+00:00,2,420.57,0.0,17.99,61.51,22.89,17.75,21.53,2.66
2020-11-30 04:00:00+00:00,2,390.53,0.0,17.65,43.27,21.22,15.41,18.88,2.47
2020-11-30 05:00:00+00:00,2,403.88,0.01,20.39,31.47,24.08,14.82,18.4,2.38
2020-11-30 06:00:00+00:00,2,377.18,0.03,20.56,25.75,26.23,14.84,18.09,1.46
2020-11-30 07:00:00+00:00,2,363.83,0.05,21.76,22.89,33.85,16.8,20.18,1.11
2020-11-30 08:00:00+00:00,2,367.17,0.06,22.96,19.85,41.49,18.07,21.05,0.36
2020-11-30 09:00:00+00:00,2,383.85,0.12,23.65,15.2,44.82,18.08,20.72,0.07
2020-11-30 10:00:00+00:00,2,373.84,0.17,22.28,13.05,41.49,16.76,19.05,0.09
2020-11-30 11:00:00+00:00,2,373.84,0.21,21.25,12.34,38.62,15.62,17.78,0.17
2020-11-30 12:00:00+00:00,2,400.54,0.36,22.28,10.46,38.15,15.41,17.74,0.37
2020-11-30 13:00:00+00:00,2,494.0,1.29,26.39,5.9,39.1,15.79,18.59,0.76
2020-11-30 14:00:00+00:00,2,607.49,4.3,31.53,1.81,39.58,16.86,20.34,1.47
2020-11-30 15:00:00+00:00,2,634.19,7.71,31.19,1.13,36.72,15.22,19.07,1.88
2020-11-30 16:00:00+00:00,2,627.52,9.61,27.76,5.32,35.76,13.53,16.91,1.92
2020-11-30 17:00:00+00:00,2,627.52,11.18,23.99,15.91,34.81,12.59,15.63,1.95
2020-11-30 18:00:00+00:00,2,594.14,8.94,22.28,35.05,32.42,12.73,15.55,1.63
2020-11-30 19:00:00+00:00,2,547.41,4.97,19.71,63.66,29.33,15.99,19.37,1.19
2020-11-30 20:00:00+00:00,2,547.41,2.71,18.34,85.83,28.37,19.75,23.44,1.03
2020-11-30 21:00:00+00:00,3,614.17,1.93,20.74,98.71,32.42,22.61,26.54,1.14
2020-11-30 22:00:00+00:00,3,674.25,1.24,24.68,101.57,35.76,24.45,28.56,1.3
2020-11-30 23:00:00+00:00,3,680.92,0.48,30.5,87.98,37.67,23.2,27.07,1.38
2020-12-01 00:00:00+00:00,3,647.54,0.03,34.62,70.81,47.21,21.25,24.88,1.3
2020-12-01 01:00:00+00:00,2,694.28,0.02,47.98,43.99,75.34,18.85,22.94,1.92
2020-12-01 02:00:00+00:00,2,774.38,0.28,61.01,19.85,89.65,18.77,24.56,2.91
2020-12-01 03:00:00+00:00,3,807.76,0.69,61.01,11.8,82.02,20.63,28.43,3.42
2020-12-01 04:00:00+00:00,3,907.9,2.71,63.75,4.65,74.39,23.05,32.25,4.5
