latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.437609,-99.10715,2230.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2020-11-27T00:00,23.3,21,-0.0,19.7,0.00,1011.3,786.9,88,0,5,99,10.2,18.1,350,347
2020-11-27T01:00,21.5,23,-0.3,17.5,0.00,1013.6,787.5,95,0,9,95,12.4,20.3,36,33
2020-11-27T02:00,19.5,41,5.7,17.6,0.00,1015.1,787.3,97,0,0,97,5.6,14.4,333,3
2020-11-27T03:00,17.8,43,5.0,15.3,0.00,1016.6,787.3,98,0,0,98,8.4,15.1,280,320
2020-11-27T04:00,16.7,47,5.3,14.0,0.00,1017.4,787.3,94,0,0,94,10.6,19.6,288,317
2020-11-27T05:00,15.1,58,7.0,13.2,0.00,1017.9,786.5,97,0,0,97,7.4,15.8,299,330
2020-11-27T06:00,15.9,52,6.0,14.5,0.00,1018.1,787.3,97,0,0,97,2.7,8.7,293,330
2020-11-27T07:00,15.2,56,6.4,13.9,0.00,1018.3,786.9,92,0,0,92,2.7,4.0,67,350
2020-11-27T08:00,14.3,59,6.3,13.2,0.00,1018.3,786.3,90,0,0,90,1.1,2.1,108,301
2020-11-27T09:00,13.5,64,6.8,12.4,0.00,1018.2,785.7,96,0,0,96,1.9,3.7,22,331
2020-11-27T10:00,12.3,73,7.6,11.3,0.00,1018.5,785.1,97,0,0,97,2.6,2.7,74,23
2020-11-27T11:00,11.4,80,8.1,10.6,0.00,1018.7,784.6,95,0,0,95,2.6,1.8,16,360
2020-11-27T12:00,8.8,90,7.3,7.3,0.00,1019.8,783.6,97,0,0,38,6.0,2.2,17,351
2020-11-27T13:00,8.6,91,7.2,7.2,0.00,1020.2,783.8,39,0,0,39,5.0,1.5,30,166
2020-11-27T14:00,11.5,79,8.0,10.6,0.00,1020.4,785.9,6,0,0,6,2.6,2.6,34,214
2020-11-27T15:00,15.3,58,7.2,14.4,0.00,1020.9,789.0,0,0,0,0,0.8,0.7,207,270
2020-11-27T16:00,18.6,39,4.3,17.0,0.00,1019.5,790.2,0,0,0,0,2.2,3.1,270,291
2020-11-27T17:00,21.5,28,2.3,20.3,0.00,1017.8,790.8,0,0,0,0,3.9,4.9,292,306
2020-11-27T18:00,23.6,22,0.4,22.6,0.00,1015.8,790.6,0,0,0,0,4.9,5.4,306,312
2020-11-27T19:00,24.9,18,-1.1,23.8,0.00,1013.6,789.7,48,0,0,48,5.4,6.1,307,310
2020-11-27T20:00,25.7,15,-2.8,24.0,0.00,1011.9,788.9,54,0,0,54,5.3,6.0,298,303
2020-11-27T21:00,25.9,13,-4.3,23.2,0.00,1010.8,788.2,28,0,0,28,6.0,7.1,295,300
2020-11-27T22:00,25.9,12,-5.9,21.9,0.00,1010.2,787.7,26,0,0,26,7.4,8.3,299,304
2020-11-27T23:00,25.4,11,-7.5,21.1,0.00,1010.0,787.2,0,0,0,0,8.7,10.2,315,318
2020-11-28T00:00,21.9,30,3.5,19.3,0.00,1010.7,785.5,0,0,0,61,7.4,12.7,14,7
2020-11-28T01:00,20.4,25,-0.1,16.3,0.00,1013.2,786.5,82,0,0,82,13.4,21.2,54,58
2020-11-28T02:00,18.3,45,6.2,16.7,0.00,1014.6,786.2,0,0,0,0,4.6,10.3,18,36
2020-11-28T03:00,17.3,37,2.5,14.3,0.00,1015.5,786.2,0,0,0,0,9.0,13.0,272,304
2020-11-28T04:00,15.6,43,2.9,12.7,0.00,1016.2,785.5,0,0,0,0,8.7,16.8,287,315
2020-11-28T05:00,15.8,38,1.4,13.5,0.00,1016.5,785.9,0,0,0,0,2.3,9.4,288,337
2020-11-28T06:00,13.8,51,3.9,11.7,0.00,1017.1,785.0,0,0,0,0,4.7,3.2,113,90
2020-11-28T07:00,14.1,46,2.5,12.1,0.00,1017.1,785.2,0,0,0,0,2.5,4.5,90,166
2020-11-28T08:00,13.8,50,3.7,11.8,0.00,1016.7,784.7,0,0,0,0,3.5,2.1,24,211
2020-11-28T09:00,12.9,58,5.0,11.1,0.00,1016.6,784.0,6,0,0,6,4.2,2.0,70,135
2020-11-28T10:00,13.1,55,4.3,11.1,0.00,1016.8,784.3,51,0,0,51,4.0,3.8,95,107
2020-11-28T11:00,12.4,59,4.6,10.7,0.00,1017.1,784.1,66,0,0,66,2.8,3.7,40,61
2020-11-28T12:00,12.1,59,4.4,10.2,0.00,1017.8,784.4,76,0,0,92,3.8,2.4,343,27
2020-11-28T13:00,11.7,61,4.5,9.8,0.00,1018.4,784.5,58,0,0,58,3.9,3.4,22,58
2020-11-28T14:00,12.0,63,5.3,10.2,0.00,1019.2,785.4,6,0,0,6,4.9,7.2,73,90
2020-11-28T15:00,15.0,46,3.5,13.0,0.00,1019.6,787.8,32,0,0,32,3.3,4.0,103,95
2020-11-28T16:00,18.0,35,2.5,16.1,0.00,1018.4,788.9,0,0,0,0,1.3,1.1,124,90
2020-11-28T17:00,21.0,27,1.4,20.0,0.00,1016.5,789.4,7,0,0,7,1.6,1.3,207,214
2020-11-28T18:00,23.4,21,-0.2,22.7,0.00,1014.5,789.5,0,0,0,0,2.3,2.4,231,243
2020-11-28T19:00,25.0,16,-3.0,23.7,0.00,1012.5,788.9,0,0,0,0,4.7,5.1,261,266
2020-11-28T20:00,25.7,14,-3.7,23.7,0.00,1010.8,788.1,4,0,4,0,6.3,7.3,257,261
2020-11-28T21:00,25.9,14,-3.6,22.8,0.00,1009.8,787.4,13,0,13,0,8.3,9.4,268,268
2020-11-28T22:00,25.6,14,-3.7,21.5,0.00,1009.4,786.9,14,0,14,0,10.2,11.8,293,293
2020-11-28T23:00,25.0,15,-3.4,20.9,0.00,1009.5,786.6,10,0,10,0,10.7,13.9,318,323
2020-11-29T00:00,21.9,24,0.7,18.5,0.00,1011.0,785.8,34,0,6,15,9.9,13.4,71,76
2020-11-29T01:00,19.9,41,6.1,16.7,0.00,1013.4,786.3,60,0,3,59,15.0,21.5,66,80
2020-11-29T02:00,18.2,43,5.6,16.1,0.00,1014.8,786.3,17,0,1,16,7.2,15.6,53,71
2020-11-29T03:00,17.1,46,5.4,14.6,0.00,1015.6,786.1,8,0,0,7,9.0,5.6,241,255
2020-11-29T04:00,14.9,54,5.6,12.8,0.00,1015.9,784.8,1,0,0,0,6.6,9.4,248,272
2020-11-29T05:00,13.0,66,6.9,11.6,0.00,1016.4,783.9,0,0,0,0,3.8,6.0,221,253
2020-11-29T06:00,11.8,71,6.6,10.3,0.00,1016.7,783.3,0,0,0,0,4.1,5.6,142,165
2020-11-29T07:00,12.2,61,4.9,10.7,0.00,1016.6,783.5,0,0,0,0,1.6,7.0,117,145
2020-11-29T08:00,12.4,60,4.9,10.9,0.00,1016.4,783.5,10,0,0,10,1.8,4.6,349,129
2020-11-29T09:00,12.6,59,4.8,11.2,0.00,1015.9,783.2,26,0,0,26,1.1,4.2,360,121
2020-11-29T10:00,12.4,59,4.6,10.8,0.00,1015.9,783.1,0,0,0,0,2.0,6.0,135,123
2020-11-29T11:00,12.2,59,4.4,10.5,0.00,1015.7,782.8,0,0,0,0,2.1,2.3,329,129
2020-11-29T12:00,10.7,68,5.0,8.9,0.00,1016.5,782.4,0,0,0,0,4.2,1.9,340,158
2020-11-29T13:00,8.7,77,4.9,6.3,0.00,1017.5,781.8,0,0,0,0,8.3,3.2,355,360
2020-11-29T14:00,12.1,61,4.8,10.1,0.00,1018.3,784.8,0,0,0,0,5.4,4.4,360,351
2020-11-29T15:00,15.7,45,3.8,14.0,0.00,1019.0,787.8,0,0,0,0,1.5,2.5,14,8
2020-11-29T16:00,18.6,34,2.5,16.7,0.00,1018.2,789.1,0,0,0,0,1.1,0.0,162,180
2020-11-29T17:00,21.0,27,1.5,20.0,0.00,1016.6,789.5,0,0,0,0,1.0,0.5,225,315
2020-11-29T18:00,22.7,23,0.4,22.1,0.00,1015.0,789.4,0,0,0,0,2.4,1.9,243,248
2020-11-29T19:00,24.1,19,-0.6,23.2,0.00,1013.0,788.8,0,0,0,0,4.0,4.3,265,275
2020-11-29T20:00,24.8,19,-0.5,23.1,0.00,1011.3,787.9,0,0,0,0,7.1,7.7,255,259
2020-11-29T21:00,25.0,20,0.4,22.4,0.00,1010.5,787.4,0,0,0,0,8.7,9.4,275,277
2020-11-29T22:00,24.8,22,1.7,21.2,0.00,1010.3,787.1,7,0,7,0,12.1,13.8,307,309
2020-11-29T23:00,24.3,24,2.4,20.3,0.00,1010.5,786.9,43,0,43,0,15.6,19.7,326,329
2020-11-30T00:00,22.3,33,5.3,19.6,0.00,1012.1,786.8,68,0,39,5,10.0,13.4,105,114
2020-11-30T01:00,20.1,47,8.3,17.8,0.00,1014.3,787.1,41,0,41,0,12.4,19.1,112,122
2020-11-30T02:00,18.9,50,8.3,17.1,0.00,1016.1,787.7,16,0,16,0,9.4,15.0,58,73
2020-11-30T03:00,18.4,49,7.4,17.0,0.00,1017.4,788.4,20,1,20,0,5.3,6.9,332,354
2020-11-30T04:00,17.3,60,9.5,15.4,0.00,1018.3,788.4,17,0,17,0,12.4,20.1,334,345
2020-11-30T05:00,16.0,72,10.9,14.2,0.00,1019.3,788.2,46,1,46,0,14.5,24.2,333,337
2020-11-30T06:00,15.1,80,11.7,13.8,0.00,1020.3,788.4,93,6,93,0,12.6,18.8,333,334
2020-11-30T07:00,14.7,83,11.8,13.3,0.00,1020.4,788.2,71,12,69,0,13.0,17.7,326,327
2020-11-30T08:00,13.8,87,11.6,12.6,0.00,1020.6,787.7,49,26,44,0,11.6,17.2,324,327
2020-11-30T09:00,13.4,88,11.4,12.3,0.00,1020.2,787.1,51,39,44,0,10.5,16.6,329,330
2020-11-30T10:00,13.2,86,11.0,12.1,0.00,1020.1,786.9,52,42,43,0,9.7,16.7,321,327
2020-11-30T11:00,13.3,83,10.5,12.0,0.00,1020.3,787.1,49,44,40,0,9.7,16.5,318,328
2020-11-30T12:00,13.0,83,10.1,11.7,0.00,1021.1,787.5,48,91,30,0,9.3,15.5,306,318
2020-11-30T13:00,12.9,81,9.8,11.4,0.00,1021.5,787.8,90,89,31,0,9.8,14.0,294,305
2020-11-30T14:00,13.4,76,9.2,11.2,0.00,1021.9,788.4,82,81,28,0,13.4,17.3,306,312
2020-11-30T15:00,14.6,68,8.7,12.2,0.00,1022.3,789.6,56,27,51,0,13.7,17.4,330,333
2020-11-30T16:00,15.7,61,8.3,13.6,0.00,1022.1,790.2,83,39,81,0,11.5,13.8,328,332
2020-11-30T17:00,16.4,57,8.0,13.8,0.00,1021.3,790.1,80,76,77,0,14.3,16.5,311,316
2020-11-30T18:00,17.2,53,7.6,14.2,0.00,1020.1,789.7,42,22,34,8,15.8,17.9,300,304
2020-11-30T19:00,18.7,48,7.5,16.6,0.00,1017.9,789.0,32,5,31,0,13.0,14.0,289,293
2020-11-30T20:00,19.3,46,7.5,18.0,0.00,1015.8,787.8,33,3,27,8,9.3,9.8,286,287
2020-11-30T21:00,19.6,45,7.5,18.3,0.00,1014.8,787.2,42,13,33,12,4.7,5.2,203,196
2020-11-30T22:00,19.9,45,7.6,18.8,0.00,1013.9,786.7,53,17,47,13,3.1,4.0,159,153
2020-11-30T23:00,19.2,46,7.4,17.6,0.10,1014.4,786.6,100,100,82,21,6.0,6.6,335,338
2020-12-01T00:00,18.3,50,7.7,16.4,0.40,1015.5,786.9,91,8,96,28,8.9,10.0,320,319
2020-12-01T01:00,13.6,55,4.7,8.6,0.00,1018.9,786.3,79,8,63,45,25.8,38.2,337,337
2020-12-01T02:00,12.1,61,4.7,8.8,0.00,1020.2,786.2,85,3,25,80,13.9,20.7,329,329
2020-12-01T03:00,11.6,63,4.8,8.7,0.00,1021.1,786.6,79,3,9,77,11.2,15.1,2,3
2020-12-01T04:00,8.8,74,4.5,4.7,0.00,1023.8,786.7,84,25,16,81,19.0,28.6,345,345
2020-12-01T05:00,7.5,80,4.4,4.4,0.00,1025.0,786.7,86,24,19,81,12.0,17.0,344,343
2020-12-01T06:00,6.9,84,4.4,4.4,0.00,1025.0,786.2,81,15,14,77,7.9,10.0,344,339
2020-12-01T07:00,6.5,88,4.6,4.5,0.00,1023.9,785.1,76,1,18,71,4.6,3.8,18,41
2020-12-01T08:00,6.1,92,4.9,4.1,0.00,1023.7,784.6,47,1,12,40,5.0,6.9,360,62
2020-12-01T09:00,6.2,93,5.2,4.5,0.00,1023.1,784.3,63,1,13,57,3.7,5.2,349,56
2020-12-01T10:00,6.4,94,5.6,4.8,0.00,1022.2,783.7,45,0,14,37,3.4,3.8,342,73
2020-12-01T11:00,6.7,94,5.8,4.5,0.00,1021.5,783.4,56,0,8,53,7.9,5.8,357,22
2020-12-01T12:00,6.2,97,5.7,4.6,0.00,1021.9,783.3,64,1,3,73,3.8,4.7,17,81
2020-12-01T13:00,6.3,96,5.6,4.5,0.00,1022.0,783.5,73,1,2,73,4.7,2.5,328,45
2020-12-01T14:00,8.3,86,6.0,6.6,0.00,1022.4,785.2,74,5,2,73,4.8,4.5,347,29
2020-12-01T15:00,11.7,71,6.5,9.9,0.00,1022.4,787.6,67,5,5,64,5.9,7.4,47,51
2020-12-01T16:00,14.9,58,6.6,13.0,0.00,1020.9,788.7,58,0,3,56,7.1,8.3,114,108
2020-12-01T17:00,17.6,48,6.5,16.3,0.00,1018.5,788.7,78,0,4,77,7.4,8.2,129,128
