time,temperature_2m_max_(°C),temperature_2m_min_(°C),temperature_2m_mean_(°C),daylight_duration_(s),sunshine_duration_(s),precipitation_hours_(h),shortwave_radiation_sum_(MJ/m²)
11/27/2020,25.9,8.6,18,39870.84,37097.05,0,20.72
11/28/2020,25.9,11.7,17.9,39837.77,37059.49,0,20.46
11/29/2020,25,8.7,17.1,39806.22,37023.49,0,20.11
11/30/2020,22.3,12.9,16.5,39775.79,34460.58,1,12.86
12/1/2020,22.2,6.1,12.6,39746.46,35809.52,2,17.74
12/2/2020,22,7.5,14.4,39718.27,36922.51,0,18.41
12/3/2020,22.9,8.4,14.8,39691.25,36891.45,0,18.08
12/4/2020,23.5,6.5,14.2,39665.43,36861.75,0,18.18
12/5/2020,24,8.1,15.6,39640.85,36833.47,0,18.43
12/6/2020,22,7.8,15.1,39617.54,36806.64,1,17.63
12/7/2020,19.5,9.6,14.8,39595.55,35736.68,3,15.18
12/8/2020,21.3,7.3,13.3,39574.9,36757.5,0,16.47
12/9/2020,22,8.4,14.8,39555.63,33222.1,0,16.99
12/10/2020,23.6,9.4,15.9,39537.78,34591.81,0,17.31
12/11/2020,24.2,12.4,17.5,39521.37,36340.41,0,18.54
12/12/2020,22.9,9.9,16.4,39506.45,36678.5,1,17.28
12/13/2020,24.9,7.2,15.9,39493.04,36662.99,0,19.3
12/14/2020,23.1,10.7,16.3,39481.19,36649.28,0,17.76
12/15/2020,24.8,6.8,15.3,39470.91,36637.38,0,19.25
12/16/2020,22,10.6,15.4,39462.26,36627.35,0,16.09
12/17/2020,22.2,7.7,14.5,39455.25,36619.21,0,17.94
12/18/2020,22.7,7.2,14.5,39449.93,36613,1,17.82
12/19/2020,23.1,10.3,16,39446.3,36608.56,0,18.15
12/20/2020,22.2,9.5,15.9,39444.32,36184.75,0,16.85
12/21/2020,21.7,9.1,15,39443.95,36336.89,1,17.13
12/22/2020,23.5,9.5,16.1,39445.18,36267.06,1,17.31
12/23/2020,23.7,8.1,16.2,39447.99,36016.02,0,18.69
12/24/2020,23,8,15.8,39452.38,36612.21,0,19.74
12/25/2020,21.1,2.7,10.9,39458.31,35305.07,0,17.42
12/26/2020,23.4,6.9,14.6,39465.78,36626.42,1,19.47
12/27/2020,22.3,6.8,14.3,39474.75,36636.18,0,20.13
12/28/2020,22.4,5.3,13.7,39485.23,36647.68,0,20.47
12/29/2020,22,4.5,13.1,39497.18,36660.9,0,20.28
12/30/2020,22.9,4.9,12.9,39510.59,36675.81,0,20.07
12/31/2020,19.8,7.6,13.3,39525.44,36692.39,0,20.27
1/1/2021,24.4,1.1,11.6,39541.7,36710.62,0,20.7
1/2/2021,24,3.6,12.4,39559.36,36730.46,0,20.43
1/3/2021,24.3,3,13,39578.39,36751.89,0,20.2
1/4/2021,23,6.6,14.9,39598.77,36774.9,0,20.27
1/5/2021,22.6,6.9,14.3,39620.49,36799.45,0,19.37
1/6/2021,22.1,5.8,14.3,39643.52,36825.52,0,19.76
1/7/2021,19.9,9.8,14.4,39667.83,31531.12,3,14.83
1/8/2021,21.4,6.7,13.8,39693.47,36881.96,0,18.76
1/9/2021,19.8,7.5,14.2,39720.72,36800.1,1,17.34
1/10/2021,21.7,6.6,13.6,39749.58,36732.64,2,17.62
1/11/2021,18.4,7.6,12.9,39779.99,35642.18,1,14.82
